measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
27,Probability of death,554,New Mexico,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.09079452637690140,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08750958104947890,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.0884783616938707,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.0011867853840478200,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,3.59370550364094E-05,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.000582282265729206,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,515,Asthma,8,Probability of death,2010,0.0010191641648725800,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,515,Asthma,8,Probability of death,2010,0.0018561639580804600,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,515,Asthma,8,Probability of death,2010,0.0014504517342673000,,
27,Probability of death,566,Texas,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08141966968546580,,
27,Probability of death,566,Texas,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08171301522979540,,
27,Probability of death,566,Texas,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08104508403408860,,
27,Probability of death,566,Texas,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.0005278002757283970,,
27,Probability of death,566,Texas,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,2.34096111189212E-05,,
27,Probability of death,566,Texas,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.00025396648066906700,,
27,Probability of death,566,Texas,1,Male,22,All ages,515,Asthma,8,Probability of death,2010,0.0007199988100182150,,
27,Probability of death,566,Texas,2,Female,22,All ages,515,Asthma,8,Probability of death,2010,0.001335223748920720,,
27,Probability of death,566,Texas,3,Both,22,All ages,515,Asthma,8,Probability of death,2010,0.0010455445765143900,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.0892440921915614,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.08774098519881890,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.08786339206412200,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2011,0.00117522489675194,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2011,3.69417934202642E-05,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2011,0.0005797955445478100,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,515,Asthma,8,Probability of death,2011,0.00105107160473452,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,515,Asthma,8,Probability of death,2011,0.0018575723041238800,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,515,Asthma,8,Probability of death,2011,0.0014643198908193000,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08644886135567840,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08780047537040540,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08676002815834990,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,0.0011608347900703100,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,3.6778405382738E-05,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,0.0005871751602525030,,
27,Probability of death,554,New Mexico,1,Male,22,All ages,515,Asthma,8,Probability of death,2012,0.001080177757521140,,
27,Probability of death,554,New Mexico,2,Female,22,All ages,515,Asthma,8,Probability of death,2012,0.0018914261290952100,,
27,Probability of death,554,New Mexico,3,Both,22,All ages,515,Asthma,8,Probability of death,2012,0.0014897530587732400,,
27,Probability of death,570,Washington,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.07940175862796580,,
27,Probability of death,570,Washington,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08362565916791470,,
27,Probability of death,570,Washington,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2010,0.08119210682701730,,
27,Probability of death,570,Washington,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.0010665948688626700,,
27,Probability of death,570,Washington,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,3.87469161925928E-05,,
27,Probability of death,570,Washington,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2010,0.0005164835328783210,,
27,Probability of death,570,Washington,1,Male,22,All ages,515,Asthma,8,Probability of death,2010,0.0008933489015484680,,
27,Probability of death,570,Washington,2,Female,22,All ages,515,Asthma,8,Probability of death,2010,0.0018660573972600300,,
27,Probability of death,570,Washington,3,Both,22,All ages,515,Asthma,8,Probability of death,2010,0.0014041043650591200,,
27,Probability of death,566,Texas,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08280351707495050,,
27,Probability of death,566,Texas,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08560818681920130,,
27,Probability of death,566,Texas,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2012,0.08379085989076420,,
27,Probability of death,566,Texas,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,0.0004846458488073160,,
27,Probability of death,566,Texas,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,2.37503118789732E-05,,
27,Probability of death,566,Texas,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2012,0.00023696665325576400,,
27,Probability of death,566,Texas,1,Male,22,All ages,515,Asthma,8,Probability of death,2012,0.0007331639219767010,,
27,Probability of death,566,Texas,2,Female,22,All ages,515,Asthma,8,Probability of death,2012,0.0013582429023521100,,
27,Probability of death,566,Texas,3,Both,22,All ages,515,Asthma,8,Probability of death,2012,0.0010647137029855600,,
27,Probability of death,566,Texas,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2013,0.08180979900020150,,
27,Probability of death,566,Texas,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2013,0.08674890401835990,,
27,Probability of death,566,Texas,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2013,0.08396222436428110,,
27,Probability of death,566,Texas,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2013,0.00047280323474396300,,
27,Probability of death,566,Texas,2,Female,22,All ages,510,Pneumoconiosis,8,Probability of death,2013,2.28579007033246E-05,,
27,Probability of death,566,Texas,3,Both,22,All ages,510,Pneumoconiosis,8,Probability of death,2013,0.0002320252799784890,,
27,Probability of death,566,Texas,1,Male,22,All ages,515,Asthma,8,Probability of death,2013,0.0007466491353607600,,
27,Probability of death,566,Texas,2,Female,22,All ages,515,Asthma,8,Probability of death,2013,0.0013557344951614000,,
27,Probability of death,566,Texas,3,Both,22,All ages,515,Asthma,8,Probability of death,2013,0.0010687105903388300,,
27,Probability of death,566,Texas,1,Male,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.08204000245461770,,
27,Probability of death,566,Texas,2,Female,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.08371653333367540,,
27,Probability of death,566,Texas,3,Both,22,All ages,508,Chronic respiratory diseases,8,Probability of death,2011,0.08238858236041160,,
27,Probability of death,566,Texas,1,Male,22,All ages,510,Pneumoconiosis,8,Probability of death,2011,0.000504017898682943,,
